"","C_No_Treatment","C_Treatment_A","C_Treatment_B","E_No_Treatment","E_Treatment_A","E_Treatment_B"
"274",119056.476566978,325240.702836042,289382.008314233,20.3520137800367,22.1419476618893,21.2494441416631
"275",122530.69187594,324351.971444723,297553.785005943,19.8696572175188,21.7718396266361,20.7828531175896
"276",114164.156243537,269923.796067012,241070.233330395,22.0833501552557,23.6415654852019,22.8242141874124
"277",121784.944290142,275470.774463015,250681.637040993,21.2716063311766,23.2016846394546,22.1701062581594
"278",113079.431493298,272318.021100082,255317.663591314,21.7007343485039,23.2270640744673,22.4825989140895
"279",109668.577889031,286402.894985014,257813.763587936,21.1466860892251,22.9153112051118,21.8243922190388
"280",117378.109401945,288819.57108086,260685.234605913,21.1462377115752,22.7948224018254,21.9992718182198
"281",114530.134618572,282564.438111189,264040.34174737,21.1321160705136,23.0473957119854,21.7132404783822
"282",106099.828030915,264871.572241104,225309.766097388,22.182138631514,23.6810955724616,23.0806643791143
"283",117594.518910192,279203.056917989,242521.245826457,20.8864059575776,22.7564561992842,21.8198363399834
"284",114522.242490049,260592.150042655,236523.522196492,21.9793034566737,23.6765140936031,22.7738579277233
"285",117884.7979753,298604.456136024,274052.643088351,20.7325020987747,22.6840250391731,21.3530619140499
"286",114199.891735305,276908.624402566,266470.428352745,20.6575120274645,22.590876225542,21.3133049219672
"287",119883.817802707,280177.497785712,271477.174407241,21.4654832343634,23.3121034190904,22.012168757113
